,"score","names_wiki+googleart+wga","dates_wiki+googleart+wga","names_meisterwerke","dates_meisterwerke","is_same","artist_id_wiki+googleart+wga","artist_id_meisterwerke","idx","total_works_count","year_diff"
0,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[canaletto (ii) (werkstatt)]","[1750.0, 1750.0]",1,"wiki_canaletto","meisterwerke_canaletto (ii) (werkstatt)","(298, 295)",447,"[53.0, 18.0]"
1,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[canaletto (i)]","[1723.0, 1766.0]",0,"wiki_canaletto","meisterwerke_canaletto (i)","(298, 293)",547,"[26.0, 2.0]"
2,100,"[canaletto, giovanni antonio canal]","[1697, 1768]","[canaletto (ii)]","[1740.0, 1779.0]",0,"wiki_canaletto","meisterwerke_canaletto (ii)","(298, 294)",583,"[43.0, 11.0]"
3,100,"[dieric bouts, dirk bouts]","[1415, 1577.0]","[bouts, dieric]","[1450.0, 1475.0]",0,"googleart_m07z_y1","meisterwerke_bouts, dieric","(469, 225)",69,"[35.0, 102.0]"
4,100,"[dieric bouts, dirk bouts]","[1415, 1577.0]","[bouts, dieric (nachfolger)]","[1500.0, 1500.0]",1,"googleart_m07z_y1","meisterwerke_bouts, dieric (nachfolger)","(469, 226)",56,"[85.0, 77.0]"
5,100,"[lippi, fra filippo, fra' filippo lippi, filippo lippi]","[1406, 1469]","[lippi, fra filippo (und gehilfen)]","[1450.0, 1450.0]",1,"googleart_m03kb6h","meisterwerke_lippi, fra filippo (und gehilfen)","(617, 1070)",272,"[44.0, 19.0]"
6,100,"[lippi, fra filippo, fra' filippo lippi, filippo lippi]","[1406, 1469]","[lippi, fra filippo]","[1426.0, 1489.0]",1,"googleart_m03kb6h","meisterwerke_lippi, fra filippo","(617, 1069)",416,"[20.0, 20.0]"
7,100,"[vasari, giorgio, giorgio vasari]","[1511, 1574]","[vasari, giorgio (gehilfen)]","[1550.0, 1550.0]",1,"googleart_m0pvnq","meisterwerke_vasari, giorgio (gehilfen)","(775, 2026)",245,"[39.0, 24.0]"
8,100,"[vasari, giorgio, giorgio vasari]","[1511, 1574]","[vasari, giorgio]","[1540.0, 1566.0]",1,"googleart_m0pvnq","meisterwerke_vasari, giorgio","(775, 2025)",245,"[29.0, 8.0]"
9,100,"[giotto, giotto di bondone]","[1266, 1337]","[giotto di bondone]","[1294.0, 1350.0]",1,"googleart_m0kp91","meisterwerke_giotto di bondone","(777, 660)",924,"[28.0, 13.0]"
10,100,"[giotto, giotto di bondone]","[1266, 1337]","[giotto di bondone (und werkstatt)]","[1298.0, 1298.0]",1,"googleart_m0kp91","meisterwerke_giotto di bondone (und werkstatt)","(777, 661)",714,"[32.0, 39.0]"
11,100,"[claesz., pieter, pieter claesz]","[1597, 1661]","[claesz., pieter (werkstatt)]","[1634.0, 1634.0]",1,"googleart_m06zmm3","meisterwerke_claesz., pieter (werkstatt)","(1794, 378)",77,"[37.0, 27.0]"
12,100,"[claesz., pieter, pieter claesz]","[1597, 1661]","[claesz., pieter]","[1622.0, 1651.0]",1,"googleart_m06zmm3","meisterwerke_claesz., pieter","(1794, 377)",84,"[25.0, 10.0]"
13,100,"[pisanello, antonio di puccio pisano (antonio di puccio da cereto)]","[1395, 1455]","[norditalienischer meister im stil des pisanello]","[1450.0, 1450.0]",0,"wga_pisanello, (1395-1455)","meisterwerke_norditalienischer meister im stil des pisanello","(1804, 1517)",72,"[55.0, 5.0]"
14,100,"[pisanello, antonio di puccio pisano (antonio di puccio da cereto)]","[1395, 1455]","[pisanello]","[1420.0, 1450.0]",1,"wga_pisanello, (1395-1455)","meisterwerke_pisanello","(1804, 1614)",96,"[25.0, 5.0]"
15,100,"[rembrandt harmenszoon van rijn, rembrandt]","[1606, 1669]","[rembrandt (kopist)]","[1631.0, 1631.0]",1,"googleart_m0bskv2","meisterwerke_rembrandt (kopist)","(1838, 1696)",2842,"[25.0, 38.0]"
16,100,"[rembrandt harmenszoon van rijn, rembrandt]","[1606, 1669]","[rembrandt harmensz. van rijn (schule)]","[1650.0, 1650.0]",1,"googleart_m0bskv2","meisterwerke_rembrandt harmensz. van rijn (schule)","(1838, 1698)",2842,"[44.0, 19.0]"
17,100,"[rembrandt harmenszoon van rijn, rembrandt]","[1606, 1669]","[rembrandt harmensz. van rijn]","[1625.0, 1669.0]",1,"googleart_m0bskv2","meisterwerke_rembrandt harmensz. van rijn","(1838, 1697)",2986,"[19.0, 0.0]"
18,100,"[rogier de le pasture, rogier van der weyden, weyden, rogier van der]","[1399, 1464]","[weyden, rogier van der]","[1430.0, 1459.0]",1,"googleart_m01bbhx","meisterwerke_weyden, rogier van der","(1914, 2119)",310,"[31.0, 5.0]"
19,100,"[rogier de le pasture, rogier van der weyden, weyden, rogier van der]","[1399, 1464]","[weyden, rogier van der (werkstatt?)]","[1450.0, 1450.0]",1,"googleart_m01bbhx","meisterwerke_weyden, rogier van der (werkstatt?)","(1914, 2120)",278,"[51.0, 14.0]"
20,100,"[wang wei, 王維]","[699, 761]","[wang wei]","[750.0, 750.0]",1,"wiki_wang-wei","meisterwerke_wang wei","(2189, 2080)",12,"[51.0, 11.0]"
21,100,"[wang wei, 王維]","[699, 761]","[wei, wang]","[759.0, 759.0]",1,"wiki_wang-wei","meisterwerke_wei, wang","(2189, 2095)",12,"[60.0, 2.0]"
22,100,"[morris, william, william morris]","[1834, 1896]","[hunt, william morris]","[1877.0, 1877.0]",0,"wga_morris, william, (1834-1896)","meisterwerke_hunt, william morris","(2221, 820)",33,"[43.0, 19.0]"
23,100,"[morris, william, william morris]","[1834, 1896]","[morris, william]","[1858.0, 1858.0]",1,"wga_morris, william, (1834-1896)","meisterwerke_morris, william","(2221, 1474)",33,"[24.0, 38.0]"
24,100,"[stanfield, clarkson, clarkson frederick stanfield]","[1793, 1867]","[stanfield, george clarkson]","[1862.0, 1862.0]",0,"wga_stanfield, clarkson, (1793-1867)","meisterwerke_stanfield, george clarkson","(2498, 1899)",11,"[69.0, 5.0]"
25,100,"[stanfield, clarkson, clarkson frederick stanfield]","[1793, 1867]","[stanfield, clarkson william]","[1838.0, 1840.0]",1,"wga_stanfield, clarkson, (1793-1867)","meisterwerke_stanfield, clarkson william","(2498, 1898)",18,"[45.0, 27.0]"
26,100,"[suzuki harunobu]","[1724, 1770]","[harunobu, suzuki]","[1750.0, 1750.0]",1,"googleart_m0307q6","meisterwerke_harunobu, suzuki","(2913, 732)",76,"[26.0, 20.0]"
27,100,"[suzuki harunobu]","[1724, 1770]","[suzuki harunobu]","[1750.0, 1750.0]",1,"googleart_m0307q6","meisterwerke_suzuki harunobu","(2913, 1926)",76,"[26.0, 20.0]"
28,100,"[simon vouet, vouet, simon]","[1590, 1649]","[vouet, simon]","[1650.0, 1650.0]",1,"googleart_m03d8f_","meisterwerke_vouet, simon","(3067, 2068)",67,"[60.0, 1.0]"
29,100,"[simon vouet, vouet, simon]","[1590, 1649]","[vouet, simon (nachfolger)]","[1650.0, 1650.0]",1,"googleart_m03d8f_","meisterwerke_vouet, simon (nachfolger)","(3067, 2069)",65,"[60.0, 1.0]"
30,100,"[simon vouet, vouet, simon]","[1590, 1649]","[vouet, simon (werkstatt)]","[1650.0, 1650.0]",1,"googleart_m03d8f_","meisterwerke_vouet, simon (werkstatt)","(3067, 2070)",65,"[60.0, 1.0]"
31,100,"[heem, jan davidsz. de, jan davidsz. de heem]","[1606, 1684]","[heem, jan davidsz de (nachfolge)]","[1670.0, 1670.0]",1,"googleart_m03f_7w","meisterwerke_heem, jan davidsz de (nachfolge)","(3079, 747)",54,"[64.0, 14.0]"
32,100,"[heem, jan davidsz. de, jan davidsz. de heem]","[1606, 1684]","[heem, jan davidsz de]","[1628.0, 1665.0]",1,"googleart_m03f_7w","meisterwerke_heem, jan davidsz de","(3079, 746)",67,"[22.0, 19.0]"
33,100,"[heem, jan davidsz. de, jan davidsz. de heem]","[1606, 1684]","[heem, jan davidsz de (werkstatt)]","[1660.0, 1660.0]",1,"googleart_m03f_7w","meisterwerke_heem, jan davidsz de (werkstatt)","(3079, 748)",54,"[54.0, 24.0]"
34,100,"[hunt, william morris, william morris hunt]","[1824, 1879]","[hunt, william morris]","[1877.0, 1877.0]",1,"googleart_m04td2w","meisterwerke_hunt, william morris","(3431, 820)",10,"[53.0, 2.0]"
35,100,"[hunt, william morris, william morris hunt]","[1824, 1879]","[morris, william]","[1858.0, 1858.0]",0,"googleart_m04td2w","meisterwerke_morris, william","(3431, 1474)",10,"[34.0, 21.0]"
36,100,"[matteo di giovanni]","[1430, 1495]","[giovanni, matteo di]","[1450.0, 1450.0]",1,"googleart_m05m__qz","meisterwerke_giovanni, matteo di","(3602, 665)",19,"[20.0, 45.0]"
37,100,"[matteo di giovanni]","[1430, 1495]","[matteo di giovanni]","[1488.0, 1488.0]",1,"googleart_m05m__qz","meisterwerke_matteo di giovanni","(3602, 1181)",19,"[58.0, 7.0]"
38,100,"[francesco di giorgio martini]","[1439, 1502]","[giorgio martini, francesco di]","[1450.0, 1450.0]",1,"wga_francesco di giorgio martini, (1439-1502)","meisterwerke_giorgio martini, francesco di","(4019, 658)",50,"[11.0, 52.0]"
39,100,"[francesco di giorgio martini]","[1439, 1502]","[francesco di giorgio martini]","[1500.0, 1500.0]",1,"wga_francesco di giorgio martini, (1439-1502)","meisterwerke_francesco di giorgio martini","(4019, 592)",50,"[61.0, 2.0]"
40,100,"[massys, quentin, quentin matsys]","[1465, 1530]","[massys, quentin (umkreis)]","[1520.0, 1520.0]",1,"wga_massys, quentin, (1465-1530)","meisterwerke_massys, quentin (umkreis)","(4621, 1178)",57,"[55.0, 10.0]"
41,100,"[massys, quentin, quentin matsys]","[1465, 1530]","[massys, quentin]","[1511.0, 1550.0]",0,"wga_massys, quentin, (1465-1530)","meisterwerke_massys, quentin","(4621, 1177)",63,"[46.0, 20.0]"
42,100,"[ambrosius bosschaert, bosschaert, ambrosius the elder]","[1573, 1621]","[bosschaert d. j., ambrosius]","[1614.0, 1650.0]",0,"wga_bosschaert, ambrosius the elder, (1573-1621)","meisterwerke_bosschaert d. j., ambrosius","(5061, 213)",22,"[41.0, 29.0]"
43,100,"[ambrosius bosschaert, bosschaert, ambrosius the elder]","[1573, 1621]","[bosschaert d. a., ambrosius]","[1620.0, 1620.0]",1,"wga_bosschaert, ambrosius the elder, (1573-1621)","meisterwerke_bosschaert d. a., ambrosius","(5061, 212)",19,"[47.0, 1.0]"
44,100,"[baschenis, evaristo]","[1617, 1677]","[baschenis, evaristo (werkstatt)]","[1650.0, 1650.0]",1,"wga_baschenis, evaristo, (1617-1677)","meisterwerke_baschenis, evaristo (werkstatt)","(6033, 120)",13,"[33.0, 27.0]"
45,100,"[baschenis, evaristo]","[1617, 1677]","[baschenis, evaristo]","[1650.0, 1650.0]",1,"wga_baschenis, evaristo, (1617-1677)","meisterwerke_baschenis, evaristo","(6033, 119)",14,"[33.0, 27.0]"
46,100,"[herlin, friedrich]","[1430, 1500]","[herlin, friedrich]","[1465.0, 1465.0]",1,"wga_herlin, friedrich, (1430-1500)","meisterwerke_herlin, friedrich","(7056, 759)",17,"[35.0, 35.0]"
47,100,"[herlin, friedrich]","[1430, 1500]","[herlin, friedrich (umkreis)]","[1450.0, 1450.0]",1,"wga_herlin, friedrich, (1430-1500)","meisterwerke_herlin, friedrich (umkreis)","(7056, 760)",16,"[20.0, 50.0]"
48,100,"[osias beert, beert, osias the elder]","[1580, 1624]","[beert, osias]","[1608.0, 1620.0]",1,"wiki_osias-beert","meisterwerke_beert, osias","(137, 1677)",26,"[28.0, 4.0]"
49,100,"[bouts, dieric the younger]","[1448, 1491]","[bouts, dieric]","[1450.0, 1475.0]",0,"wga_bouts, dieric the younger, (1448-1491)","meisterwerke_bouts, dieric","(225, 6214)",18,"[2.0, 16.0]"
50,100,"[bouts, dieric the elder]","[1415, 1475]","[bouts, dieric]","[1450.0, 1475.0]",1,"wga_bouts, dieric the elder, (1415-1475)","meisterwerke_bouts, dieric","(225, 6213)",73,"[35.0, 0.0]"
52,100,"[cossa, francesco]","[1435, 1477]","[cossa, francesco del]","[1460.0, 1474.0]",1,"wga_cossa, francesco, (1435-1477)","meisterwerke_cossa, francesco del","(408, 6486)",34,"[25.0, 3.0]"
53,100,"[cossa, francesco del]","[1435, 1477]","[cossa, francesco del]","[1460.0, 1474.0]",1,"wga_cossa, francesco del, (1435-1477)","meisterwerke_cossa, francesco del","(408, 6485)",60,"[25.0, 3.0]"
54,100,"[arthur devis, devis, arthur]","[1712, 1787]","[devis, arthur]","[1751.0, 1751.0]",1,"wga_devis, arthur, (1712-1787)","meisterwerke_devis, arthur","(473, 3186)",26,"[39.0, 36.0]"
55,100,"[devis, arthur william, arthur william devis]","[1762, 1822]","[devis, arthur]","[1751.0, 1751.0]",0,"wga_devis, arthur william, (1762-1822)","meisterwerke_devis, arthur","(473, 3168)",10,"[11.0, 71.0]"
56,100,"[frans hals, hals, frans]","[1580, 1666]","[hals, frans]","[1611.0, 1666.0]",1,"googleart_m0ch5l","meisterwerke_hals, frans","(724, 654)",519,"[31.0, 0.0]"
57,100,"[hals, frans ii]","[1618, 1669]","[hals, frans]","[1611.0, 1666.0]",0,"wga_hals, frans ii, (1618-1669)","meisterwerke_hals, frans","(724, 7022)",148,"[7.0, 3.0]"
60,100,"[kessel, jan van, i]","[1626, 1679]","[kessel, jan van]","[1666.0, 1670.0]",1,"wga_kessel, jan van, i, (1626-1679)","meisterwerke_kessel, jan van","(944, 7178)",40,"[40.0, 9.0]"
61,100,"[lastman, pieter pietersz., pieter lastman]","[1583, 1633]","[lastman, pieter pietersz.]","[1612.0, 1625.0]",1,"googleart_m07hgdr","meisterwerke_lastman, pieter pietersz.","(1024, 3846)",30,"[29.0, 8.0]"
62,100,"[moillon, louise]","[1610, 1696]","[moillon, louise]","[1630.0, 1631.0]",1,"wga_moillon, louise, (1610-1696)","meisterwerke_moillon, louise","(1449, 8001)",14,"[20.0, 65.0]"
65,100,"[schut, cornelis i, cornelis schut]","[1597, 1655]","[schut, cornelis]","[1637.0, 1637.0]",1,"wga_schut, cornelis i, (1597-1655)","meisterwerke_schut, cornelis","(1829, 3031)",10,"[40.0, 18.0]"
66,100,"[william turner]","[1789, 1862]","[turner, joseph mallord william]","[1796.0, 1850.0]",0,"googleart_m0285ph2","meisterwerke_turner, joseph mallord william","(2002, 2670)",266,"[7.0, 12.0]"
67,100,"[william turner, j. m. w. turner, joseph mallord william turner, turner, joseph mallord william]","[1775, 1851]","[turner, joseph mallord william]","[1796.0, 1850.0]",1,"wiki_william-turner","meisterwerke_turner, joseph mallord william","(2002, 2228)",903,"[21.0, 1.0]"
68,100,"[utagawa kunisada, utagawa toyokuni iii (歌川 国貞, 三代歌川豊国), kunisada]","[1786, 1865]","[utagawa toyokuni]","[1801.0, 1801.0]",0,"googleart_m01rthq","meisterwerke_utagawa toyokuni","(2014, 2123)",398,"[15.0, 64.0]"
69,100,"[utagawa toyokuni ii, toyoshige (豊重)]","[1777, 1835]","[utagawa toyokuni]","[1801.0, 1801.0]",0,"wiki_utagawa-toyokuni-ii","meisterwerke_utagawa toyokuni","(2014, 2128)",24,"[24.0, 34.0]"
70,100,"[utagawa toyokuni, 歌川豐國 (toyokuni i) (kurahashi kumakichi)]","[1769, 1825]","[utagawa toyokuni]","[1801.0, 1801.0]",1,"wiki_utagawa-toyokuni","meisterwerke_utagawa toyokuni","(2014, 2127)",138,"[32.0, 24.0]"
71,100,"[jan van de velde, velde, jan van de, ii]","[1593, 1641]","[velde, jan jansz. van de]","[1653.0, 1653.0]",0,"wga_velde, jan van de, ii, (1593-1641)","meisterwerke_velde, jan jansz. van de","(2037, 3343)",140,"[60.0, 12.0]"
72,100,"[weenix, jan, jan weenix]","[1640, 1719]","[weenix, jan baptist]","[1650.0, 1650.0]",1,"googleart_m03fzgx","meisterwerke_weenix, jan baptist","(2094, 3094)",41,"[10.0, 69.0]"
73,100,"[weenix, jan baptist, jan baptist weenix]","[1621, 1660]","[weenix, jan baptist]","[1650.0, 1650.0]",1,"googleart_m03fzgj","meisterwerke_weenix, jan baptist","(2094, 3093)",13,"[29.0, 10.0]"
74,96,"[menzel, adolph von, adolph friedrich erdmann von menzel, adolph menzel]","[1815, 1905]","[menzel, adolf friedrich erdmann von]","[1832.0, 1888.0]",1,"googleart_m057ldt","meisterwerke_menzel, adolf friedrich erdmann von","(17, 1411)",188,"[17.0, 17.0]"
75,91,"[alonzo cano]","[1601, 1667]","[cano, alonso]","[1643.0, 1650.0]",1,"wiki_alonzo-cano","meisterwerke_cano, alonso","(113, 296)",41,"[42.0, 17.0]"
76,94,"[amedeo modigliani, amedeo clemente modigliani]","[1884, 1920]","[modigliani, amadeo]","[1898.0, 1920.0]",1,"wiki_amedeo-modigliani","meisterwerke_modigliani, amadeo","(119, 1446)",490,"[14.0, 0.0]"
77,92,"[andrei rublev, андрей рублёв]","[1360, 1430]","[rublev, andrej]","[1400.0, 1408.0]",1,"googleart_m030dmf","meisterwerke_rublev, andrej","(136, 1762)",63,"[40.0, 22.0]"
78,97,"[angelica kauffman, maria anna angelica katharina kauffman]","[1741, 1807]","[kauffmann, angelica]","[1750.0, 1790.0]",1,"wiki_angelica-kauffman","meisterwerke_kauffmann, angelica","(141, 932)",89,"[9.0, 17.0]"
79,91,"[antoon van dyck, dyck, sir anthony van, anthony van dyck]","[1599, 1641]","[dyck, anthonis van]","[1614.0, 1650.0]",1,"googleart_m01r0ss","meisterwerke_dyck, anthonis van","(153, 504)",570,"[15.0, 9.0]"
80,96,"[böcklin, arnold, arnold böcklin, arnold b cklin]","[1827, 1901]","[bocklin, arnold]","[1866.0, 1896.0]",1,"wiki_arnold-b-cklin","meisterwerke_bocklin, arnold","(185, 185)",155,"[39.0, 5.0]"
81,86,"[chen hongshou, 陳洪綬]","[1598, 1652]","[ch'en hung-shou]","[1650.0, 1650.0]",1,"googleart_m026zmgl","meisterwerke_ch'en hung-shou","(354, 323)",28,"[52.0, 2.0]"
82,98,"[gijsbrechts, cornelis norbertus, cornelis norbertus gysbrechts (cornelius gijsbrechts), cornelis norbertus gysbrechts]","[1630, 1683]","[gijsbrechts, cornelis nobertus]","[1670.0, 1670.0]",1,"googleart_m026hr8f","meisterwerke_gijsbrechts, cornelis nobertus","(407, 653)",20,"[40.0, 13.0]"
83,87,"[david teniers the younger, teniers, david the younger]","[1610, 1690]","[teniers d. j., david]","[1633.0, 1652.0]",1,"googleart_m03h0s3","meisterwerke_teniers d. j., david","(453, 1952)",310,"[23.0, 38.0]"
84,97,"[eugene von guerard, johann joseph eugene von guérard]","[1811, 1901]","[guerard, eugen von]","[1857.0, 1857.0]",1,"googleart_m08j850","meisterwerke_guerard, eugen von","(584, 708)",102,"[46.0, 44.0]"
85,98,"[ferdinand georg waldmüller, ferdinand georg waldm ller]","[1793, 1865]","[waldmuller, ferdinand georg]","[1819.0, 1865.0]",1,"wiki_ferdinand-georg-waldm-ller","meisterwerke_waldmuller, ferdinand georg","(603, 2074)",269,"[26.0, 0.0]"
86,98,"[church, frederic edwin, frederic edwin church]","[1826, 1900]","[church, frederick edwin]","[1846.0, 1877.0]",1,"googleart_m01pkdk","meisterwerke_church, frederick edwin","(667, 371)",211,"[20.0, 23.0]"
87,98,"[giovanni paolo panini]","[1691, 1765]","[pannini, giovanni paolo]","[1750.0, 1750.0]",1,"wiki_giovanni-paolo-panini","meisterwerke_pannini, giovanni paolo","(787, 1562)",39,"[59.0, 15.0]"
88,86,"[韩干/韓幹, han gan]","[706, 783]","[han kan]","[750.0, 750.0]",1,"wiki_han-gan","meisterwerke_han kan","(852, 727)",11,"[44.0, 33.0]"
89,86,"[韩干/韓幹, han gan]","[706, 783]","[kan, han]","[750.0, 750.0]",1,"wiki_han-gan","meisterwerke_kan, han","(852, 915)",11,"[44.0, 33.0]"
90,86,"[holbein, hans the younger, hans holbein the younger]","[1497, 1543]","[holbein d. a., hans]","[1493.0, 1517.0]",0,"googleart_m0cy9m","meisterwerke_holbein d. a., hans","(862, 788)",563,"[4.0, 26.0]"
91,86,"[holbein, hans the younger, hans holbein the younger]","[1497, 1543]","[holbein d. j., hans]","[1516.0, 1543.0]",1,"googleart_m0cy9m","meisterwerke_holbein d. j., hans","(862, 789)",634,"[19.0, 0.0]"
92,98,"[fuseli, john henry, henry fuseli, johann heinrich füssli]","[1741, 1825]","[fussli, johann heinrich]","[1750.0, 1821.0]",1,"wiki_henry-fuseli","meisterwerke_fussli, johann heinrich","(902, 621)",161,"[9.0, 4.0]"
93,93,"[henry william banks davis]","[1833, 1914]","[davis, william m.]","[1870.0, 1870.0]",0,"wiki_henry-william-banks-davis","meisterwerke_davis, william m.","(907, 450)",25,"[37.0, 44.0]"
94,96,"[池大雅, ike no taiga]","[1723, 1776]","[taiga, ikeno]","[1750.0, 1750.0]",1,"googleart_m0brvp7","meisterwerke_taiga, ikeno","(955, 1947)",60,"[27.0, 26.0]"
95,93,"[jacob jordaens, jordaens, jacob]","[1593, 1678]","[jordaens, jakob]","[1615.0, 1665.0]",1,"googleart_m01bbhf","meisterwerke_jordaens, jakob","(1005, 905)",405,"[22.0, 13.0]"
96,85,"[joachim wtewael, joachim anthonisz wtewael (uytewael), wtewael, joachim]","[1566, 1638]","[uytewael, joachim antonisz.]","[1605.0, 1605.0]",1,"wga_wtewael, joachim, (1566-1638)","meisterwerke_uytewael, joachim antonisz.","(1117, 2017)",71,"[39.0, 33.0]"
97,93,"[twachtman, john henry, john henry twachtman]","[1853, 1902]","[twachtman, john h.]","[1890.0, 1890.0]",1,"googleart_m021y0q","meisterwerke_twachtman, john h.","(1158, 2004)",284,"[37.0, 12.0]"
98,87,"[josé de ribera (lo spagnoletto), jusepe de ribera, ribera, jusepe de]","[1591, 1652]","[ribera, jose de]","[1616.0, 1664.0]",1,"wga_ribera, jusepe de, (1591-1652)","meisterwerke_ribera, jose de","(1257, 1708)",281,"[25.0, 12.0]"
99,95,"[kamal ud-din behzad, kamal ud din behzad, kamāl ud-dīn behzād (kamaleddin behzad; کمال‌الدین بهزاد‎), kamāl ud-dīn behzād]","[1450, 1535]","[bihzad, kamal-ud-din]","[1495.0, 1495.0]",1,"wiki_kamal-ud-din-behzad","meisterwerke_bihzad, kamal-ud-din","(1260, 170)",21,"[45.0, 40.0]"
100,89,"[louise elisabeth vigee le brun, louise élisabeth vigée le brun]","[1755, 1842]","[vigee-lebrun, marie louise elisabeth]","[1808.0, 1808.0]",1,"wiki_louise-elisabeth-vigee-le-brun","meisterwerke_vigee-lebrun, marie louise elisabeth","(1401, 2057)",93,"[53.0, 34.0]"
101,87,"[cranach, lucas the elder, lucas cranach der ältere, lucas cranach the elder]","[1472, 1553]","[cranach d. a., lucas]","[1502.0, 1550.0]",1,"wiki_lucas-cranach-the-elder","meisterwerke_cranach d. a., lucas","(1408, 417)",914,"[30.0, 3.0]"
102,98,"[maerten van heemskerck, marten jacobsz heemskerk van veen, maarten van heemskerck, heemskerck, maerten van]","[1498, 1574]","[heemskerck, marten van]","[1529.0, 1532.0]",1,"wiki_maerten-van-heemskerck","meisterwerke_heemskerck, marten van","(1436, 749)",245,"[31.0, 42.0]"
103,94,"[marie-guillemine benoist, benoist, marie-guillemine, marie-guillemine de laville-leroux, marie guillemine benoist]","[1768, 1826]","[benoist, marie guilhelmine]","[1800.0, 1800.0]",1,"wiki_marie-guillemine-benoist","meisterwerke_benoist, marie guilhelmine","(1467, 148)",14,"[32.0, 26.0]"
104,98,"[hondecoeter, melchior d', melchior d'hondecoeter, melchior d hondecoeter]","[1636, 1695]","[hondecoeter, melchior de]","[1650.0, 1660.0]",1,"wga_hondecoeter, melchior d', (1636-1695)","meisterwerke_hondecoeter, melchior de","(1549, 796)",45,"[14.0, 35.0]"
105,92,"[narcisse virgilio díaz, narcisse-virgilio diaz, narcisse-virgilio díaz de la peña, narcisse virgilio diaz]","[1807, 1876]","[diaz de la pena, virgile-narcisse]","[1855.0, 1855.0]",1,"googleart_m03fvl3","meisterwerke_diaz de la pena, virgile-narcisse","(1608, 474)",28,"[48.0, 21.0]"
106,88,"[pieter brueghel de oude, pieter bruegel the elder, bruegel, pieter the elder]","[1525, 1569]","[bruegel d. a., pieter]","[1557.0, 1568.0]",1,"wiki_pieter-bruegel-the-elder","meisterwerke_bruegel d. a., pieter","(1793, 250)",669,"[32.0, 1.0]"
107,88,"[pieter brueghel de oude, pieter bruegel the elder, bruegel, pieter the elder]","[1525, 1569]","[bruegel d. j., pieter]","[1608.0, 1608.0]",0,"wiki_pieter-bruegel-the-elder","meisterwerke_bruegel d. j., pieter","(1793, 251)",564,"[83.0, 39.0]"
108,89,"[shěn zhōu (沈周), shen zhou]","[1427, 1509]","[shen chou]","[1450.0, 1450.0]",1,"wiki_shen-zhou","meisterwerke_shen chou","(1985, 1853)",25,"[23.0, 59.0]"
109,89,"[shěn zhōu (沈周), shen zhou]","[1427, 1509]","[chou, shen]","[1480.0, 1480.0]",1,"wiki_shen-zhou","meisterwerke_chou, shen","(1985, 367)",25,"[53.0, 29.0]"
110,96,"[theodule ribot, théodule-augustin ribot, théodule ribot, ribot, théodule-augustin]","[1823, 1891]","[ribot, theodhule-augustin]","[1865.0, 1865.0]",1,"wiki_theodule-ribot","meisterwerke_ribot, theodhule-augustin","(2067, 1709)",46,"[42.0, 26.0]"
111,88,"[louis-gabriel moreau]","[1740, 1805]","[gabriel, c.]","[1820.0, 1820.0]",0,"googleart_g121p175z","meisterwerke_gabriel, c.","(2305, 623)",31,"[80.0, 15.0]"
112,85,"[christoph murer, murer, christoph]","[1558, 1614]","[amberger, christoph]","[1541.0, 1545.0]",0,"wga_murer, christoph, (1558-1614)","meisterwerke_amberger, christoph","(2327, 39)",10,"[17.0, 69.0]"
113,98,"[antonio maría esquivel]","[1806, 1857]","[esquivel, antonio maria]","[1852.0, 1852.0]",1,"googleart_m0121l0tw","meisterwerke_esquivel, antonio maria","(2366, 526)",10,"[46.0, 5.0]"
114,90,"[john f. peto]","[1854, 1907]","[peto, john frederick]","[1879.0, 1905.0]",1,"googleart_m013_3s","meisterwerke_peto, john frederick","(2402, 1589)",16,"[25.0, 2.0]"
115,98,"[breitner, george hendrik, george hendrik breitner]","[1857, 1923]","[breitner, georg hendrik]","[1897.0, 1897.0]",1,"wga_breitner, george hendrik, (1857-1923)","meisterwerke_breitner, georg hendrik","(2457, 239)",2810,"[40.0, 26.0]"
116,96,"[flinck, govert teunisz., govert flinck]","[1615, 1660]","[flinck, govaert]","[1642.0, 1650.0]",1,"wga_flinck, govert teunisz., (1615-1660)","meisterwerke_flinck, govaert","(2479, 575)",45,"[27.0, 10.0]"
117,87,"[sanchez cotán, juan, juan sánchez cotán]","[1560, 1627]","[sanchez cotan, fra juan]","[1602.0, 1602.0]",1,"wga_sanchez cotán, juan, (1561-1627)","meisterwerke_sanchez cotan, fra juan","(2548, 1784)",12,"[42.0, 25.0]"
118,95,"[vicente lópez y portaña, lópez y portaña, vicente]","[1772, 1850]","[lopez y portana, vicente]","[1826.0, 1826.0]",1,"googleart_m026fbff","meisterwerke_lopez y portana, vicente","(2552, 1082)",23,"[54.0, 24.0]"
119,92,"[jacobsz., dirck, dirck jacobsz.]","[1496, 1567]","[jakobsz., dirck]","[1531.0, 1531.0]",1,"wga_jacobsz., dirck, (1496-1567)","meisterwerke_jakobsz., dirck","(2590, 887)",16,"[35.0, 36.0]"
120,97,"[françois lemoyne, lemoyne, françois]","[1688, 1737]","[lemoyne, francois]","[1728.0, 1728.0]",1,"googleart_m027smby","meisterwerke_lemoyne, francois","(2641, 1039)",11,"[40.0, 9.0]"
